artist,spotify_id
Милий Алексеевич Балакирев,2V5Fnwup32wFPAtMi2vmXq
Bebopovsky and The Orkestry Podyezdov,2Z2b7EOka1K9IL0Xeu2SWr
МакSим,0skU3bkFwP0sFmUIb03q82
XS Project,7FSj8kD4474FKP2gYjZPos
Tequilajazzz,3sN81ks9n7Qaf3yfzSWRZs
Смысловые галлюцинации,45HIeH1OpaQDBptDhcKrMo
Wintaar,1qxhLd8dGrxyitUkJ6o7B7
Рейнгольд Морицевич Глиэр,2wk53EBcWhriq03tl5nDYV
Каста,7C9GAYo8fgm7BlTGWbazeJ
Найк Борзов,6Y00vC4OI2oTt5ClApQXun
REFLEX,0pRJEFIZ15zsikL0PML84H
Юрий Антонов,3kYUnPkuC2xCH8ybWZ19Ky
Billy’s Band,0lsP48pYd6v6VV9Vvq9S1R
Starfounder,2qQFgIF9W8D18qHM6MnFKv
Русский размер,4gWwmEIuZFUTKMuYpGwgwg
Louna,2OhFv0nL7QXOWMYXPoLEP8
Ёлка,1PAvmfu0TKYSVVWGl3uJNC
Алсу,5AcAxnSYc5RNLA6Iy3dZxD
R.K.B. Studio 13,1rLxvdDJaAqvoaAzW1Xofj
Валерий Кузьмич Полянский,1x14jaR5xQ4RkVlYN48OlY
Российский национальный оркестр,1W3sZMluDmealiI6B5awE9
Слава КПСС,7fMhppMTr3ElTOEJqSbkEq
Dissident,0u180HZagiaaEsFddBIcGz
Евгений Александрович Мравинский,4zTLWXKKwDRzs2AOMkwll3
Бахыт-Компот,1chh3vtmlyt0mHAdY45Gik
ViRUS,0JkZx7iuwTKctFuJABtYuf
Sainkho Namtchylak,1OO8Vfq4oSKINYSaCsaFEf
Bobina,7H63wD8xWXAKdYVjZmE90B
Ирина Аллегрова,1Zb7mgt9TRL16FhZa6qhXf
Кирпичи,6inToLzPvkQN3AcOTGWHm0
Enei,6X3QjCYg5HcTwO5FPVQj0J
Лолита,5JdGGCCPo07UPcbg27cQXT
Николай Басков,4nYZNEXPtBwNKziFPalk9h
Dominia,6VStmfr3fOFBa6dCg1760y
Chronos,09tuzWoYnQOSPDJiko7BGh
Анатолий Константинович Лядов,7t5qhn89RAzTepqZBB4uob
Сергей Танеев,2xBVpJeox4UCMybat7LT8X
Джизус,7kB4F3PktJEy9jbwI6ujjZ
Alkonost,6uqnggb1uJbtZI4u3aLyBe
CRASPORE,70uBplYS9d9GUfEKVusJw6
